steps,sleep duration (hours)
3016,7.58
1790,5.33
2864,7.55
1419,7.48
1698,5.97
1722,1.57
2624,2.27
2214,1.57
1592,5.05
5289,3.93
2515,2.17
2726,2.38
2945,5.3
2319,8
7011,7.67
9534,7.93
8149,7.05
7000,8.8
8122,8.27
6982,8.2
7102,8
9822,8.63
1054,7.3
9552,8.47
5867,7.52
4972,8.23
9210,7.33
8998,7.8
7290,8.27
7512,7.13
7474,13.75
7107,4.2
8290,6.98
6225,5.05
7244,7.33
5840,8.72
3392,4.97
1057,5.8
955,5.87
1756,5
2887,4.4
1048,4.28
2981,5.17
2143,5.13
840,7.77
1000,6.63
1124,3.87
995,4.92
2287,5.73
2812,5.12
1500,6.37
669,5.1
1163,6.43
2008,6.93
1277,5.17
894,6.13
873,9.6
4082,7.08
2318,7.63
2438,6.67
3882,8.33
3174,7.25
1746,8.75
6802,9.17
2566,8.5
4086,5.17
3342,8.92
2433,8.5
4231,9
3215,7.15
3619,9.25
3614,8.42
4370,8.03
4249,5.67
2529,6
2372,7.32
4774,7.28
7916,6.35
6633,4.18
3050,5.23
4867,5.25
3986,4.17
6593,3.25
14503,6.47
11172,7
7369,3.23
4152,7.92
7252,6.82
4926,3.6
10140,6.83
12194,7.8
10100,7.52
8059,6.8
7112,7.93
7396,7.05
8421,7.3
9310,8.18
10432,7.37
11674,7.33
12133,3.72
11987,3.05
10554,4.65
10456,5.13
9532,4.78
11670,4.85
12743,4.43
11532,8.13
15969,7.4
17184,8.3
14476,5.18
17195,9.02
10842,7.33
8075,6.22
20134,6.67
3048,4.65
1339,5.43
1929,2.55
3100,7.85
5325,7.05
2180,7.83
786,7.78
6283,6.13
11721,8.07
14994,7.58
13356,6.48
1685,8.17
8405,7.43
7043,6.47
8554,3.37
3370,9.55
11155,8.55
15862,5.97
10361,8.32
8663,5.78
12761,7.77
10690,8.23
9697,7.82
2998,3.87
1987,13.45
1072,5.87
2915,11.62
5045,4.47
2182,8.3
9091,12.67
10116,8.82
9262,6.67
2434,6.75
12241,8.42
2244,14.25
5059,9.33
6729,9.33
3125,10
5493,6.92
11570,7.42
14414,8
15096,10.08
4868,9.08
8058,6.67
18398,9.33
9851,6.58
8462,8.5
2593,8.08
6874,8.5
6752,9.5
6207,8.92
6202,8
1011,5
947,4.32
